id,url,cidade,bairro,tipo,area,quartos,banheiros,vagas,elevador,porteiro,area_lazer,academia,varanda,mobiliado,preco,vagas_ausente
1516675840,https://es.olx.com.br/norte-do-espirito-santo/imoveis/apartamento-para-alugar-em-serra-bicanga-com-2-quartos-com-44-66-m-1516675840,serra,bicanga,1,44.0,2,1,1,0,1,1,1,0,0,2000.0,0
1492059961,https://es.olx.com.br/norte-do-espirito-santo/imoveis/sala-quarto-mobiliado-excelente-local-1492059961,vitoria,jardim-camburi,1,49.0,1,1,0,0,0,0,0,0,1,2199.0,0
1504257742,https://es.olx.com.br/norte-do-espirito-santo/imoveis/apartamento-3-quartos-com-suite-em-itapua-cond-beira-mar-ed-meaipe-reformado-1504257742,vila-velha,itapua,1,82.0,3,2,1,0,0,0,0,0,0,2690.0,0
1516669803,https://es.olx.com.br/norte-do-espirito-santo/imoveis/alugo-apto-mobiliado-no-top-life-1516669803,serra,porto-canoa,1,48.0,2,1,1,0,1,1,0,0,1,2500.0,0
1516669265,https://es.olx.com.br/norte-do-espirito-santo/imoveis/casa-para-aluguel-em-rosa-da-penha-cariacica-3-quartos-terraco-r-2-700-1516669265,cariacica,rosa-da-penha,0,200.0,3,2,1,0,0,0,0,0,0,2700.0,0
1516667414,https://es.olx.com.br/norte-do-espirito-santo/imoveis/apartamento-com-3-quartos-para-alugar-87m-jardim-guadalajara-1516667414,vila-velha,jardim-guadalajara,1,73.0,3,2,1,0,1,1,0,0,0,3500.0,0
1516667045,https://es.olx.com.br/norte-do-espirito-santo/imoveis/casa-praia-da-costa-1516667045,vila-velha,praia-da-costa,0,318.0,4,3,2,0,0,0,0,1,0,13200.0,0
1516666698,https://es.olx.com.br/norte-do-espirito-santo/imoveis/apartamento-de-1-quarto-mobiliado-em-jardim-camburi-vitoria-es-1516666698,vitoria,jardim-camburi,1,40.0,1,1,0,1,0,1,0,0,1,2900.0,0
1516665755,https://es.olx.com.br/norte-do-espirito-santo/imoveis/imovel-para-aluguel-possui-45-metros-quadrados-com-1-quarto-em-itapua-vila-velha-es-1516665755,vila-velha,itapua,1,45.0,1,1,0,0,0,0,0,0,0,1200.0,0
1511196446,https://es.olx.com.br/norte-do-espirito-santo/imoveis/ler-corpo-do-anuncio-alugo-apartamento-2-aptos-de-2q-em-colina-de-laranjeiras-1511196446,serra,colina-de-laranjeiras,1,44.0,2,1,1,0,1,1,1,0,0,1800.0,0
1516665142,https://es.olx.com.br/norte-do-espirito-santo/imoveis/aluga-se-apartamento-2-quartos-no-centro-de-vila-velha-1516665142,vila-velha,centro-de-vila-velha,1,70.0,2,2,0,0,0,0,0,0,0,2200.0,0
1516662676,https://es.olx.com.br/norte-do-espirito-santo/imoveis/apartamento-2-quartos-jockey-de-itaparica-1516662676,vila-velha,praia-de-itaparica,1,45.0,2,1,1,0,1,1,0,0,0,2500.0,0
1516659646,https://es.olx.com.br/norte-do-espirito-santo/imoveis/apartamento-com-2-quartos-para-alugar-63m-itapua-1516659646,vila-velha,itapua,1,63.0,2,2,1,0,1,1,1,0,0,3000.0,0
1515043219,https://es.olx.com.br/norte-do-espirito-santo/imoveis/alugo-apartamento-mobiliado-1515043219,serra,valparaiso,1,45.0,2,1,1,0,1,1,0,0,1,2300.0,0
1516655277,https://es.olx.com.br/norte-do-espirito-santo/imoveis/aluga-se-apartamento-2-quartos-em-jardim-de-alah-1516655277,cariacica,jardim-de-alah,1,45.0,2,1,1,0,0,0,0,0,0,1350.0,0
1516654459,https://es.olx.com.br/norte-do-espirito-santo/imoveis/alugo-kitnet-na-gloria-1516654459,vila-velha,gloria,1,30.0,1,1,0,0,0,0,0,0,0,1600.0,1
1516645470,https://es.olx.com.br/norte-do-espirito-santo/imoveis/aluguel-apartamento-3-quartos-1516645470,vila-velha,praia-de-itaparica,1,95.0,3,2,2,1,1,1,1,1,0,4500.0,0
1516640269,https://es.olx.com.br/norte-do-espirito-santo/imoveis/apartamento-mobiliado-59m-jacaraipe-vista-para-o-mar-prox-casagrande-1516640269,serra,estancia-monazitica,1,59.0,1,1,1,0,0,0,0,0,1,1500.0,0
1516640043,https://es.olx.com.br/norte-do-espirito-santo/imoveis/casa-2-pavimento-locacao-comercial-ou-residencial-3-qts-1-suite-1516640043,vitoria,republica,1,110.0,3,2,0,0,0,0,0,1,0,4500.0,0
1516639912,https://es.olx.com.br/norte-do-espirito-santo/imoveis/alugo-apartamento-em-vila-capixaba-cariacica-1516639912,cariacica,vila-capixaba,1,50.0,2,1,0,0,0,0,0,0,0,1200.0,1
1508764883,https://es.olx.com.br/norte-do-espirito-santo/imoveis/apartamento-meaipe-2-quartos-aluguel-praia-casa-1508764883,guarapari,meaipe,1,70.0,2,2,1,1,0,0,0,1,0,2199.0,0
1516638075,https://es.olx.com.br/norte-do-espirito-santo/imoveis/alugo-apartamento-de-dois-quartos-na-praia-de-itaparica-predio-recem-entregue-1516638075,cariacica,campo-grande,1,60.0,2,2,1,1,1,1,1,1,0,2900.0,0
1515026038,https://es.olx.com.br/norte-do-espirito-santo/imoveis/aluguel-1515026038,vitoria,santa-luiza,1,28.0,3,1,0,0,0,0,0,1,0,1200.0,0
1507652598,https://es.olx.com.br/norte-do-espirito-santo/imoveis/aluga-se-apartamento-mobiliado-3-quartos-c-suite-pronto-para-morar-em-jardim-camburi-1507652598,vitoria,jardim-camburi,1,98.0,3,2,1,1,0,1,0,1,1,5000.0,0
1516631933,https://es.olx.com.br/norte-do-espirito-santo/imoveis/apto-terc-quadra-p-da-costa-1516631933,vila-velha,praia-da-costa,1,60.0,2,1,1,0,0,0,0,0,0,1900.0,0
1516616012,https://es.olx.com.br/norte-do-espirito-santo/imoveis/aluga-se-casa-2-andar-castelo-branco-cariacica-es-1516616012,cariacica,castelo-branco,0,110.0,2,2,0,0,0,0,0,1,0,2000.0,1
1507087613,https://es.olx.com.br/norte-do-espirito-santo/imoveis/imovel-para-aluguel-possui-59-metros-quadrados-com-2-quartos-1507087613,vila-velha,jockey-de-itaparica,1,59.0,2,2,1,1,1,1,1,0,1,5000.0,0
1516625151,https://es.olx.com.br/norte-do-espirito-santo/imoveis/pelegrine-aluga-apart-75-m-2-quartos-2-banheiros-1-vaga-jardim-da-penha-vitoria-es-1516625151,vitoria,jardim-da-penha,1,75.0,2,2,1,0,0,0,0,0,0,2700.0,0
1516615750,https://es.olx.com.br/norte-do-espirito-santo/imoveis/alugo-casa-2-andar-para-fins-comerciais-ou-residenciais-1516615750,vila-velha,cobilandia,0,100.0,3,3,0,0,0,0,0,1,0,2000.0,1
1516609292,https://es.olx.com.br/norte-do-espirito-santo/imoveis/alugo-linda-kitnet-toda-mobiliada-ha-2-km-da-rodoviaria-de-vitoria-1516609292,cariacica,itaquari,1,30.0,1,1,1,0,0,0,0,0,0,1100.0,0
1516606871,https://es.olx.com.br/norte-do-espirito-santo/imoveis/studio-mobiliado-na-praia-da-costa-1516606871,vila-velha,praia-da-costa,1,40.0,1,1,0,1,1,0,0,1,1,3000.0,1
1516604215,https://es.olx.com.br/norte-do-espirito-santo/imoveis/casa-venda-no-arquipelago-de-manguinhos-serra-es-4-quartos-piscina-energia-solar-1516604215,serra,manguinhos,0,268.0,4,1,4,0,1,0,1,0,0,10000.0,0
1507589638,https://es.olx.com.br/norte-do-espirito-santo/imoveis/casa-a-locacao-em-parque-residencial-laranjeiras-serra-es-1507589638,serra,parque-residencial-laranjeiras,0,129.0,2,1,2,0,0,0,0,1,0,2200.0,0
1511337687,https://es.olx.com.br/norte-do-espirito-santo/imoveis/casa-a-locacao-em-morada-de-laranjeiras-serra-es-1511337687,serra,morada-de-laranjeiras,0,130.0,4,1,0,0,0,0,0,0,0,3500.0,0
1501259490,https://es.olx.com.br/norte-do-espirito-santo/imoveis/apartamento-para-locacao-por-r-1-900-00-em-colina-de-laranjeiras-serra-es-1501259490,serra,colina-de-laranjeiras,1,46.0,2,1,1,0,0,1,0,0,0,1900.0,0
1486255904,https://es.olx.com.br/norte-do-espirito-santo/imoveis/apartamento-a-locacao-em-valparaiso-serra-es-1486255904,serra,valparaiso,1,53.0,2,1,1,0,0,0,0,0,0,1750.0,0
1488315718,https://es.olx.com.br/norte-do-espirito-santo/imoveis/casa-a-locacao-em-morada-de-laranjeiras-serra-es-1488315718,serra,morada-de-laranjeiras,0,180.0,3,1,2,0,0,0,0,1,0,5000.0,0
1495046176,https://es.olx.com.br/norte-do-espirito-santo/imoveis/apartamento-a-locacao-em-jardim-limoeiro-serra-es-1495046176,serra,jardim-limoeiro,1,41.0,2,1,1,1,0,1,0,0,0,1900.0,0
1468572940,https://es.olx.com.br/norte-do-espirito-santo/imoveis/apartamento-a-venda-e-locacao-em-residencial-vista-do-mestre-serra-es-1468572940,serra,residencial-vista-do-mestre,1,49.0,2,2,1,1,0,1,0,0,1,2200.0,0
